,SiteID,x,y
75,41Q 90595,-110.79123999999996,47.390960000000064
76,42C 10000,-105.74820999999997,46.24782000000005
77,76F 04900,-113.22866199999999,47.02390400000007
78,76HB 01500,-114.51149699999996,46.75137200000006
79,76HE 09000,-114.06593999999996,45.88319000000007
80,43B 02950,-110.77622399999996,45.270632000000035
81,41L 05000,-112.86299999999994,48.660340000000076
82,41D 07200,-113.46983999999998,45.65906000000007
83,76E 2200,-113.38674799999995,46.13407600000005
84,41A 01000,-112.05658999999997,44.647890000000075
85,76LJ 07500,-114.11878399999995,48.19762700000007
86,40J 08900,-109.69749999999999,48.39688000000007
87,41O 04910,-112.23922699999997,47.86416470000006
88,41O 04002,-112.21310599999998,47.837082000000066
89,42KJ 02000,-107.29414399999996,46.28426700000006
90,41J 09500,-111.17876999999999,46.795900000000074
91,76LJ 003,-114.10499999999996,48.242000000000075
92,76GJ 07100,-113.26609999999994,46.19828000000007
93,41D 01000,-113.44612999999998,45.25151000000005
94,41S 2080,-109.94129999999996,46.95780000000008
95,41G 26600,-112.32773999999995,45.617590000000064
96,41O 04971,-112.18288899999999,47.81596300000007
97,41D 06700,-113.49020999999999,45.57929000000007
98,41A 10000,-112.82716999999997,44.91477000000003
99,41H 08990,-111.02694799999995,45.69563900000003
100,41J 04900,-110.89468799999997,46.81666100000007
101,76H 1500,-114.32094999999998,45.69882000000007
102,43BJ 03800,-110.20068999999995,45.55538000000007
103,41A 11610,-112.13048999999995,44.73034000000007
104,40A 4080,-110.30879999999996,46.454000000000065
105,43B 05990,-110.64926999999994,45.41294000000005
106,41S 11500,-109.34927999999996,47.00790000000006
107,41B 16450,-112.67769999999996,45.18264000000005
108,39FJ 09000,-104.09659999999997,46.20141000000007
109,40L-10050013,-107.25599999999997,48.527900000000045
110,41A 11680,-112.13274999999999,44.65455000000003
111,41D 07790,-112.95139999999998,45.794350000000065
112,76F 05300,-113.37660999999997,46.965160000000026
113,41O 09000,-110.96193749999998,47.85605190000007
114,41I 03500,-111.46207899999996,46.297164000000066
115,43BV 07000,-109.75563999999997,45.91993000000008
116,43B 04010,-110.59347999999994,45.340070000000026
117,41U 09000,-111.91334999999998,47.13118000000003
118,76F 02000,-112.92555599999997,46.94333330000006
119,43BJ 07200,-110.30871999999994,45.54842000000008
120,41A 04000,-112.64999999999998,44.690000000000055
121,SR 001,-112.55083329999997,47.341944400000045
122,40F 01900,-113.17697999999996,48.767220000000066
123,76HF 3513,-114.31269999999995,46.356700000000046
124,42C 10300,-105.72273999999999,46.483940000000075
125,42M 273796,-104.36475399999995,47.51492900000005
126,43Q 06400,-108.61775999999998,45.748380000000054
127,41O 04850,-112.39042899999998,47.71491700000007
128,41G 29900,-112.11123999999995,45.90133000000003
129,76E 1500,-113.36859999999996,46.09130000000005
130,41S 11760,-109.42100999999997,47.06794000000008
131,43B 91750,-110.90365999999995,45.21079000000003
132,41K 2080,-112.57489999999996,47.462500000000034
133,40A 8080,-109.45059999999995,46.335300000000075
134,41O 04990,-112.16429969999996,47.79962500000005
135,41D 04800,-113.45006999999998,45.422090000000026
136,43B 09550,-110.69892399999998,45.47526400000004
137,41A 11400,-112.07700999999997,44.713610000000074
138,41H 2000,-110.98558199999997,45.50125200000008
139,76GJ 8080,-113.23269999999997,46.61040000000003
140,41J 06500,-111.17548999999997,46.51603000000006
141,40A 1500,-110.57679999999999,46.60940000000005
142,41S 11350,-109.34368999999998,47.001960000000054
143,76G 05850,-112.916114,46.57794100000007
144,41O 04000,-112.23672199999999,47.85184900000007
145,41I 2000,-111.40104999999994,46.137950000000046
146,42B 01900,-106.76571399999995,45.13025600000003
147,41Q 06000,-111.03043999999994,47.582700000000045
148,43BJ 07800,-110.11619999999999,45.66266000000007
149,SR 006,-111.76422199999996,47.55833330000007
150,43B 04040,-110.61828999999994,45.36002000000008
151,76F 02900,-113.04023099999995,46.89321700000005
152,41O 04855,-112.41095099999995,47.77481000000006
153,41D 06850,-113.44347999999997,45.63525000000004
154,43C 04600,-109.52553999999998,45.30816000000004
155,41E 33890,-111.94074999999998,45.88140000000004
156,76HB 09550,-114.10796599999998,46.754608000000076
157,40G 10000,-109.99804199999994,48.35876200000007
158,41D 07900,-112.94970999999998,45.79738000000003
159,42KJ 01010,-107.31662499999999,46.252594000000045
160,76LJ 001,-114.13239999999996,48.18832000000003
161,40R 05000,-104.55055899999996,48.51017600000006
162,41A 07001,-111.66343999999998,44.58809000000008
163,76E 2000,-113.39049999999997,46.135500000000036
164,43A 08200,-110.64827999999994,46.06208000000004
165,41J 08500,-111.20621999999997,46.57862000000006
166,43B 91820,-110.84767999999997,45.305540000000065
167,41H 08900,-111.30914899999999,45.892791000000045
168,41D 05000,-113.44935999999996,45.42312000000004
169,40B 06000,-108.34762299999994,46.89440100000007
170,41O 05000,-112.08847189999994,47.81139440000004
171,41A 11470,-112.10610999999994,44.65259000000003
172,76H 01100,-114.26235999999994,46.10143000000005
173,76F 2200,-112.85405999999995,46.81704000000008
174,40A 2000,-110.55349999999999,46.574700000000064
175,41C 09000,-112.30137999999994,45.46929000000006
176,43B 10000,-110.57134999999994,45.594040000000064
177,76G 05900,-112.90981,46.58162000000004
178,41J 02000,-110.81070599999998,46.76769200000007
179,41S 11380,-109.34366999999997,47.00237000000004
180,76HB 05500,-114.28772399999997,46.75295200000005
181,42C 10100,-105.82581999999996,46.37907000000007
182,43B 05280,-110.70003399999996,45.408997000000056
183,41O 02900,-112.36212469999998,47.88125640000004
184,41O 08000,-111.32346719999998,47.90876970000005
185,41U 08100,-112.12158999999997,47.30338000000006
186,43B 02990,-110.77164699999997,45.321473000000026
187,76E 3000,-113.42159999999996,46.145200000000045
188,76HF 05000,-114.23679999999996,46.30740000000003
189,41O 04500,-112.17916399999996,47.788788200000056
190,41O 04950,-112.19004069999994,47.82513910000006
191,40J 09000,-109.73161699999997,48.41597200000007
192,41E 10000,-111.93999999999994,45.88200000000006
193,43Q 05900,-108.62354999999997,45.73140700000005
194,43B 91550,-110.80630999999994,45.12769000000003
195,41D 02000,-113.44104999999996,45.36094000000003
196,46J 07500,-110.90365999999995,46.65497000000005
197,41K 05100,-112.49482999999998,47.38838000000004
198,76LJ 004,-114.13369999999998,48.267400000000066
199,76GJ 2089,-113.42949999999996,46.18240000000003
200,41G 28650,-112.15195999999997,45.87467000000004
201,41A 05001,-111.61635999999999,44.60982000000007
202,41A 10170,-111.89722999999998,44.69560000000007
203,43A 09500,-110.49189999999999,46.16709000000003
204,40F 01700,-113.02009999999996,48.858370000000036
205,41H 1000,-110.93889999999999,45.46810000000005
206,41U 03900,-112.22409999999996,47.220380000000034
207,43BJ 05200,-110.14662999999996,45.54815000000008
208,41C 05000,-112.11756999999994,45.31985000000003
209,41J 05000,-111.02730999999994,46.55823000000004
210,41A 11640,-112.12322999999998,44.67918000000003
211,41S 08700,-109.55643999999995,47.23241000000007
212,76G 04000,-112.72726999999998,46.40022000000005
213,40A 10000,-109.40119999999996,46.33790000000005
214,41A 11690,-112.13749999999999,44.643200000000036
215,41D 07850,-113.05903999999998,45.68446000000006
216,76HB 05800,-114.26462499999997,46.761903000000075
217,41I 06060,-112.21569999999997,46.57179000000008
218,76F 2000,-112.81619999999998,46.80320000000006
219,41O 03000,-112.30106299999994,47.87153900000004
220,41O 08500,-110.61530999999997,47.87354000000005
221,41U 08900,-112.05916999999994,47.22350000000006
222,76HA 06100,-113.93782999999996,46.45668000000006
223,43B 04000,-110.74224999999996,45.344430000000045
224,41E 33600,-112.03269999999998,46.17760000000004
225,SR 002,-112.34333299999997,47.50777780000004
226,40F 01800,-113.02629999999999,48.84146000000004
227,41A 04001,-111.58837999999997,44.60364000000004
228,43BV 08000,-109.75141999999994,45.849560000000054
229,43Q 06300,-108.63751999999994,45.74989000000005
