,Date,RecordedValue,SiteID
667,2021-01-02,22.85519025,41O 04850
668,2021-01-03,22.79143817,41O 04850
669,2021-01-04,22.72768609,41O 04850
670,2021-01-05,22.66393402,41O 04850
671,2021-01-06,22.60018194,41O 04850
672,2021-01-07,22.53642986,41O 04850
673,2021-01-08,22.47267778,41O 04850
674,2021-01-09,22.4089257,41O 04850
675,2021-01-10,22.34517363,41O 04850
676,2021-01-11,22.28142155,41O 04850
677,2021-01-12,22.21766947,41O 04850
678,2021-01-13,22.15391739,41O 04850
679,2021-01-14,22.09016531,41O 04850
680,2021-01-15,22.02641324,41O 04850
681,2021-01-16,21.96266116,41O 04850
682,2021-01-17,21.89890908,41O 04850
683,2021-01-18,21.835157,41O 04850
684,2021-01-19,21.77140492,41O 04850
685,2021-01-20,21.70765285,41O 04850
686,2021-01-21,21.64390077,41O 04850
687,2021-01-22,21.58014869,41O 04850
688,2021-01-23,21.51639661,41O 04850
689,2021-01-24,21.45264453,41O 04850
690,2021-01-25,21.38889245,41O 04850
691,2021-01-26,21.32514038,41O 04850
342,2021-01-27,21.2613883,41O 04850
692,2021-01-28,21.19763622,41O 04850
693,2021-01-29,21.13388414,41O 04850
694,2021-01-30,21.07013206,41O 04850
695,2021-01-31,21.00637999,41O 04850
696,2021-02-01,20.94262791,41O 04850
697,2021-02-02,20.87887583,41O 04850
698,2021-02-03,20.81512375,41O 04850
699,2021-02-04,20.75137167,41O 04850
344,2021-02-05,20.6876196,41O 04850
700,2021-02-06,20.62386752,41O 04850
339,2021-02-07,20.56011544,41O 04850
340,2021-02-08,20.49636336,41O 04850
701,2021-02-09,20.43261128,41O 04850
702,2021-02-10,20.36885921,41O 04850
703,2021-02-11,20.30510713,41O 04850
704,2021-02-12,20.24135505,41O 04850
705,2021-02-13,20.17760297,41O 04850
706,2021-02-14,20.11385089,41O 04850
707,2021-02-15,20.05009882,41O 04850
708,2021-02-16,19.98634674,41O 04850
709,2021-02-17,19.92259466,41O 04850
710,2021-02-18,19.85884258,41O 04850
711,2021-02-19,19.7950905,41O 04850
712,2021-02-20,19.73133842,41O 04850
713,2021-02-21,19.66758635,41O 04850
714,2021-02-22,19.60383427,41O 04850
715,2021-02-23,19.54008219,41O 04850
716,2021-02-24,19.47633011,41O 04850
717,2021-02-25,19.41257803,41O 04850
718,2021-02-26,19.34882596,41O 04850
719,2021-02-27,19.28507388,41O 04850
720,2021-02-28,19.2213218,41O 04850
721,2021-03-01,19.15756972,41O 04850
722,2021-03-02,19.09381764,41O 04850
723,2021-03-03,19.03006557,41O 04850
724,2021-03-04,18.96631349,41O 04850
725,2021-03-05,18.90256141,41O 04850
726,2021-03-06,18.83880933,41O 04850
727,2021-03-07,18.77505725,41O 04850
728,2021-03-08,18.71130518,41O 04850
729,2021-03-09,18.6475531,41O 04850
730,2021-03-10,18.58380102,41O 04850
731,2021-03-11,18.52004894,41O 04850
732,2021-03-12,18.45629686,41O 04850
733,2021-03-13,17.60797908,41O 04850
343,2021-03-14,16.19323878,41O 04850
734,2021-03-15,17.00895097,41O 04850
762,2021-03-16,17.47158463,41O 04850
766,2021-03-17,18.01242521,41O 04850
767,2021-03-18,18.15108248,41O 04850
768,2021-03-19,17.86267409,41O 04850
769,2021-03-20,17.46477215,41O 04850
770,2021-03-21,17.17461053,41O 04850
771,2021-03-22,16.97297053,41O 04850
772,2021-03-23,16.76897216,41O 04850
773,2021-03-24,16.69815891,41O 04850
774,2021-03-25,16.57457236,41O 04850
775,2021-03-26,16.55400169,41O 04850
776,2021-03-27,16.45881489,41O 04850
777,2021-03-28,16.55158793,41O 04850
778,2021-03-29,17.30035089,41O 04850
779,2021-03-30,17.65601122,41O 04850
780,2021-03-31,17.03996161,41O 04850
781,2021-04-01,17.39404255,41O 04850
782,2021-04-02,18.06826228,41O 04850
783,2021-04-03,18.99525509,41O 04850
784,2021-04-04,19.79857962,41O 04850
785,2021-04-05,21.16125462,41O 04850
786,2021-04-06,22.11266853,41O 04850
787,2021-04-07,21.97917142,41O 04850
788,2021-04-08,21.94973758,41O 04850
742,2021-04-09,,41O 04850
798,2021-04-10,22.49544724,41O 04850
799,2021-04-11,22.43943553,41O 04850
800,2021-04-12,22.12908634,41O 04850
801,2021-04-13,21.85809878,41O 04850
802,2021-04-14,21.92986298,41O 04850
803,2021-04-15,22.26818035,41O 04850
804,2021-04-16,22.08431023,41O 04850
806,2021-04-17,21.62298719,41O 04850
743,2021-04-18,,41O 04850
807,2021-04-19,23.31568155,41O 04850
808,2021-04-20,23.06309366,41O 04850
809,2021-04-21,22.98375036,41O 04850
810,2021-04-22,23.18303163,41O 04850
811,2021-04-23,23.60465044,41O 04850
836,2021-04-24,23.27281085,41O 04850
837,2021-04-25,23.63382523,41O 04850
735,2021-04-26,,41O 04850
838,2021-04-27,24.87052288,41O 04850
839,2021-04-28,24.02498418,41O 04850
840,2021-04-29,24.11853752,41O 04850
841,2021-04-30,25.11654384,41O 04850
842,2021-05-01,27.66609243,41O 04850
843,2021-05-02,32.11286641,41O 04850
844,2021-05-03,33.15554336,41O 04850
845,2021-05-04,28.48792164,41O 04850
846,2021-05-05,24.67156744,41O 04850
847,2021-05-06,24.77153301,41O 04850
848,2021-05-07,26.3577142,41O 04850
849,2021-05-08,27.85761431,41O 04850
850,2021-05-09,27.97045161,41O 04850
851,2021-05-10,27.39528052,41O 04850
